Date,Product,Salesperson,Region,Units Sold,Revenue
2024-07-24,Product A,Bob,North,16,333.61
2024-07-26,Product B,Bob,West,9,235.93
2024-08-05,Product B,Bob,East,1,717.51
2024-08-14,Product B,Alice,South,13,237.68
2024-08-13,Product A,Bob,West,16,916.82
2024-08-15,Product C,Alice,South,8,981.55
2024-07-24,Product A,Charlie,East,1,941.54
2024-08-11,Product C,Charlie,South,13,586.22
2024-08-14,Product C,Alice,North,19,738.27
2024-08-19,Product B,Alice,West,10,467.63
2024-07-25,Product C,Bob,South,4,526.98
2024-07-26,Product B,Alice,East,10,921.03
2024-08-17,Product A,Bob,South,2,756.76
2024-08-08,Product A,Alice,West,11,372.48
2024-07-28,Product A,Alice,East,6,539.36
2024-07-31,Product C,Bob,West,4,385.85
2024-07-29,Product C,Charlie,East,17,110.35
2024-08-18,Product A,Alice,East,17,749.66
2024-07-22,Product A,Charlie,West,19,261.17
2024-08-03,Product B,Charlie,West,14,637.94
2024-08-17,Product A,Bob,South,5,942.49
2024-08-17,Product C,Bob,South,1,904.8
2024-08-02,Product A,Charlie,East,12,356.3
2024-08-05,Product B,Bob,East,16,665.49
2024-07-29,Product C,Bob,North,12,842.67
2024-08-09,Product C,Bob,West,3,327.33
2024-08-14,Product A,Bob,South,13,762.18
2024-08-13,Product B,Alice,West,5,678.21
2024-08-13,Product A,Alice,South,17,537.06
2024-08-16,Product A,Alice,East,18,960.46
2024-08-17,Product C,Alice,West,10,608.07
2024-08-20,Product B,Bob,West,6,109.25
2024-08-04,Product B,Bob,North,7,665.06
2024-08-13,Product A,Bob,West,11,891.06
2024-08-08,Product C,Alice,East,3,624.44
2024-08-07,Product C,Alice,North,15,552.02
2024-08-05,Product A,Alice,East,2,533.73
2024-08-09,Product B,Bob,West,11,443.75
2024-08-17,Product B,Charlie,West,16,150.62
2024-07-24,Product A,Bob,South,6,198.96
2024-08-03,Product B,Bob,West,2,511.89
2024-08-15,Product C,Bob,East,9,309.41
2024-07-30,Product A,Charlie,North,19,472.6
2024-08-07,Product C,Alice,South,11,983.86
2024-07-24,Product A,Charlie,South,8,878.38
2024-08-04,Product B,Charlie,North,10,764.82
2024-07-25,Product A,Charlie,East,4,581.65
2024-08-12,Product B,Alice,South,8,655.1
2024-07-27,Product A,Alice,South,7,241.6
2024-07-30,Product C,Bob,East,17,742.58
